timestamp, power.draw.instant [W], clocks.current.sm [MHz]
2023/08/30 15:31:21.324, 77.67 W, 1755 MHz
2023/08/30 15:31:21.342, 77.67 W, 1755 MHz
2023/08/30 15:31:21.346, 77.67 W, 1755 MHz
2023/08/30 15:31:21.351, 77.67 W, 1755 MHz
2023/08/30 15:31:21.355, 77.67 W, 1755 MHz
2023/08/30 15:31:21.358, 77.67 W, 1755 MHz
2023/08/30 15:31:21.361, 77.67 W, 1755 MHz
2023/08/30 15:31:21.365, 77.67 W, 1755 MHz
2023/08/30 15:31:21.370, 77.67 W, 1755 MHz
2023/08/30 15:31:21.374, 77.67 W, 1755 MHz
2023/08/30 15:31:21.377, 77.67 W, 1755 MHz
2023/08/30 15:31:21.381, 77.67 W, 1755 MHz
2023/08/30 15:31:21.384, 77.67 W, 1755 MHz
2023/08/30 15:31:21.390, 77.67 W, 1755 MHz
2023/08/30 15:31:21.394, 77.67 W, 1755 MHz
2023/08/30 15:31:21.397, 77.67 W, 1755 MHz
2023/08/30 15:31:21.401, 77.67 W, 1755 MHz
2023/08/30 15:31:21.404, 77.67 W, 1755 MHz
2023/08/30 15:31:21.410, 77.67 W, 1755 MHz
2023/08/30 15:31:21.414, 77.67 W, 1755 MHz
2023/08/30 15:31:21.417, 77.67 W, 1755 MHz
2023/08/30 15:31:21.420, 77.18 W, 1755 MHz
2023/08/30 15:31:21.424, 77.18 W, 1755 MHz
2023/08/30 15:31:21.439, 77.18 W, 1755 MHz
2023/08/30 15:31:21.442, 77.18 W, 1755 MHz
2023/08/30 15:31:21.446, 77.18 W, 1755 MHz
2023/08/30 15:31:21.451, 77.18 W, 1755 MHz
2023/08/30 15:31:21.454, 77.18 W, 1755 MHz
2023/08/30 15:31:21.458, 77.18 W, 1755 MHz
2023/08/30 15:31:21.461, 77.18 W, 1755 MHz
2023/08/30 15:31:21.464, 77.18 W, 1755 MHz
2023/08/30 15:31:21.470, 77.18 W, 1755 MHz
2023/08/30 15:31:21.474, 77.18 W, 1755 MHz
2023/08/30 15:31:21.477, 77.18 W, 1755 MHz
2023/08/30 15:31:21.481, 77.18 W, 1755 MHz
2023/08/30 15:31:21.485, 77.18 W, 1755 MHz
2023/08/30 15:31:21.490, 77.18 W, 1755 MHz
2023/08/30 15:31:21.494, 77.18 W, 1755 MHz
2023/08/30 15:31:21.497, 77.18 W, 1755 MHz
2023/08/30 15:31:21.501, 77.18 W, 1755 MHz
2023/08/30 15:31:21.504, 77.18 W, 1755 MHz
2023/08/30 15:31:21.510, 77.18 W, 1755 MHz
2023/08/30 15:31:21.514, 77.18 W, 1755 MHz
2023/08/30 15:31:21.517, 77.18 W, 1755 MHz
2023/08/30 15:31:21.521, 77.19 W, 1755 MHz
2023/08/30 15:31:21.524, 77.19 W, 1755 MHz
2023/08/30 15:31:21.540, 77.19 W, 1755 MHz
2023/08/30 15:31:21.543, 77.19 W, 1755 MHz
2023/08/30 15:31:21.547, 77.19 W, 1755 MHz
2023/08/30 15:31:21.552, 77.19 W, 1755 MHz
2023/08/30 15:31:21.555, 77.19 W, 1755 MHz
2023/08/30 15:31:21.558, 77.19 W, 1755 MHz
2023/08/30 15:31:21.562, 77.19 W, 1755 MHz
2023/08/30 15:31:21.565, 77.19 W, 1755 MHz
2023/08/30 15:31:21.570, 77.19 W, 1755 MHz
2023/08/30 15:31:21.574, 77.19 W, 1755 MHz
2023/08/30 15:31:21.577, 77.19 W, 1755 MHz
2023/08/30 15:31:21.580, 77.19 W, 1755 MHz
2023/08/30 15:31:21.584, 77.19 W, 1755 MHz
2023/08/30 15:31:21.590, 77.19 W, 1755 MHz
2023/08/30 15:31:21.594, 77.19 W, 1755 MHz
2023/08/30 15:31:21.597, 77.19 W, 1755 MHz
2023/08/30 15:31:21.600, 77.19 W, 1755 MHz
2023/08/30 15:31:21.604, 77.19 W, 1755 MHz
2023/08/30 15:31:21.610, 77.19 W, 1755 MHz
2023/08/30 15:31:21.614, 77.19 W, 1755 MHz
2023/08/30 15:31:21.617, 77.19 W, 1755 MHz
2023/08/30 15:31:21.621, 77.68 W, 1755 MHz
2023/08/30 15:31:21.624, 77.68 W, 1755 MHz
2023/08/30 15:31:21.639, 77.68 W, 1755 MHz
2023/08/30 15:31:21.642, 77.68 W, 1755 MHz
2023/08/30 15:31:21.645, 77.68 W, 1755 MHz
2023/08/30 15:31:21.651, 77.68 W, 1755 MHz
2023/08/30 15:31:21.654, 77.68 W, 1755 MHz
2023/08/30 15:31:21.658, 77.68 W, 1755 MHz
